"Year","Team","Classification","Conference","Total Games","Total Wins","Total Losses","RegularSeason Games","RegularSeason Wins","RegularSeason Losses","Postseason Games","Postseason Wins","Postseason Losses"
"2024","North Central College","iii","CCIW","15","15","0","13","13","0","2","2","0"
"2024","Montana State","fcs","Big Sky","16","15","1","14","14","0","2","1","1"
"2024","Ferris State","ii","GLIAC","15","14","1","14","13","1","1","1","0"
"2024","Notre Dame","fbs","FBS Independents","16","14","2","12","11","1","4","3","1"
"2024","University of Mount Union","iii","Ohio","15","14","1","13","13","0","2","1","1"
"2024","Ohio State","fbs","Big Ten","16","14","2","12","10","2","4","4","0"
"2024","North Dakota State","fcs","MVFC","16","14","2","14","12","2","2","2","0"
"2024","Valdosta State","ii","Gulf South","15","13","1","14","13","0","1","0","1"
"2024","Oregon","fbs","Big Ten","14","13","1","13","13","0","1","0","1"
"2024","Texas","fbs","SEC","16","13","3","13","11","2","3","2","1"
"2024","Penn State","fbs","Big Ten","16","13","3","13","11","2","3","2","1"
"2024","Salisbury","iii","New Jersey","13","12","1","13","12","1","0","0","0"
"2024","Slippery Rock","ii","Pennsylvania State Athletic","14","12","2","14","12","2","0","0","0"
"2024","South Dakota State","fcs","MVFC","15","12","3","14","12","2","1","0","1"
"2024","Army","fbs","American Athletic","14","12","2","13","11","2","1","1","0"
"2024","Boise State","fbs","Mountain West","14","12","2","13","12","1","1","0","1"
"2024","Harding University","ii","Great American","14","12","2","14","12","2","0","0","0"
"2024","Springfield","iii","NEWMAC","13","12","1","13","12","1","0","0","0"
"2024","Johns Hopkins University","iii","Centennial","14","12","2","13","12","1","1","0","1"
"2024","Susquehanna","iii","Landmark Conference","14","12","2","13","12","1","1","0","1"
"2024","Jackson State","fcs","SWAC","14","12","2","13","11","2","1","1","0"
"2024","BYU","fbs","Big 12","13","11","2","12","10","2","1","1","0"
"2024","Bethel (MN)","iii","Minnesota","14","11","3","14","11","3","0","0","0"
"2024","Mercer","fcs","Southern","14","11","3","14","11","3","0","0","0"
"2024","Georgia","fbs","SEC","14","11","3","13","11","2","1","0","1"
"2024","Minnesota State Mankato","ii","Northern Sun","15","11","4","15","11","4","0","0","0"
"2024","South Dakota","fcs","MVFC","15","11","3","14","11","2","1","0","1"
"2024","Depauw","iii","North Coast","12","11","1","12","11","1","0","0","0"
"2024","Central Oklahoma","ii","Mid America","13","11","2","13","11","2","0","0","0"
"2024","Memphis","fbs","American Athletic","13","11","2","12","10","2","1","1","0"
"2024","Cortland","iii","Empire 8","12","11","1","12","11","1","0","0","0"
"2024","Western Colorado","ii","Rocky Mountain","13","11","2","13","11","2","0","0","0"
"2024","SMU","fbs","ACC","14","11","3","13","11","2","1","0","1"
"2024","University Of Charleston (WV)","ii","Mountain East","12","11","1","12","11","1","0","0","0"
"2024","Iowa State","fbs","Big 12","14","11","3","13","10","3","1","1","0"
"2024","Arizona State","fbs","Big 12","14","11","3","13","11","2","1","0","1"
"2024","Incarnate Word","fcs","Southland","14","11","3","14","11","3","0","0","0"
"2024","Hope College","iii","Michigan","12","11","1","12","11","1","0","0","0"
"2024","Grand Valley State University","ii","GLIAC","13","11","2","13","11","2","0","0","0"
"2024","UC Davis","fcs","Big Sky","14","11","3","14","11","3","0","0","0"
"2024","UNLV","fbs","Mountain West","14","11","3","13","10","3","1","1","0"
"2024","Indiana","fbs","Big Ten","13","11","2","12","11","1","1","0","1"
"2024","Saint John's (MN)","iii","Minnesota","12","11","1","12","11","1","0","0","0"
"2024","Ohio","fbs","Mid-American","14","11","3","13","10","3","1","1","0"
"2024","Rhode Island","fcs","CAA","14","11","3","14","11","3","0","0","0"
"2024","Kutztown University","ii","Pennsylvania State Athletic","12","11","1","12","11","1","0","0","0"
"2024","Kings College (PA)","iii","Mid Atlantic","12","10","2","12","10","2","0","0","0"
"2024","Bemidji State","ii","Northern Sun","14","10","4","14","10","4","0","0","0"
"2024","Tennessee","fbs","SEC","13","10","3","12","10","2","1","0","1"
"2024","Navy","fbs","American Athletic","13","10","3","12","9","3","1","1","0"
"2024","Hardin-Simmons","iii","American Southwest","11","10","1","11","10","1","0","0","0"
"2024","Louisiana","fbs","Sun Belt","14","10","4","13","10","3","1","0","1"
"2024","Syracuse","fbs","ACC","13","10","3","12","9","3","1","1","0"
"2024","Carnegie Mellon","iii","Presidents'","12","10","2","12","10","2","0","0","0"
"2024","Villanova","fcs","CAA","14","10","4","14","10","4","0","0","0"
"2024","Wartburg","iii","American Rivers","12","10","2","12","10","2","0","0","0"
"2024","UMass Dartmouth","iii","MSCAC","11","10","1","11","10","1","0","0","0"
"2024","CSU Pueblo","ii","Rocky Mountain","12","10","2","12","10","2","0","0","0"
"2024","Miami","fbs","ACC","13","10","3","12","10","2","1","0","1"
"2024","Linfield College","iii","Northwest","12","10","2","12","10","2","0","0","0"
"2024","Richmond","fcs","CAA","13","10","3","13","10","3","0","0","0"
"2024","Clemson","fbs","ACC","14","10","4","13","10","3","1","0","1"
"2024","Sam Houston","fbs","Conference USA","13","10","3","12","9","3","1","1","0"
"2024","East Stroudsburg University","ii","Pennsylvania State Athletic","12","10","2","12","10","2","0","0","0"
"2024","Virginia Union","ii","CIAA","14","10","4","14","10","4","0","0","0"
"2024","Lenoir-Rhyne","ii","South Atlantic","13","10","3","13","10","3","0","0","0"
"2024","PennWest California","ii","Pennsylvania State Athletic","13","10","3","13","10","3","0","0","0"
"2024","Tarleton State","fcs","UAC","14","10","4","14","10","4","0","0","0"
"2024","Lake Forest College","iii","Midwest","11","10","1","11","10","1","0","0","0"
"2024","Miles College","ii","SIAC","13","10","3","13","10","3","0","0","0"
"2024","Indianapolis","ii","Great Lakes","12","10","2","12","10","2","0","0","0"
"2024","Randolph-Macon","iii","Old Dominion","12","10","2","12","10","2","0","0","0"
"2024","Missouri","fbs","SEC","13","10","3","12","9","3","1","1","0"
"2024","Endicott College","iii","Commonwealth Coast","12","10","2","12","10","2","0","0","0"
"2024","Ouachita Baptist","ii","Great American","12","10","2","12","10","2","0","0","0"
"2024","Whitworth","iii","Northwest","12","10","2","12","10","2","0","0","0"
"2024","Illinois","fbs","Big Ten","13","10","3","12","9","3","1","1","0"
