Rank,School,Link,Conference,Total Revenue,Total Expenses,Total Allocated,Link,Percent Allocated,School,Link
1,Ohio State,https://sportsdata.usatoday.com/ncaa/finances/204796,Big 10,"$251,615,345 ","$225,733,418 ",$0*,https://sportsdata.usatoday.com/ncaa/#,0.00%,Ohio State,https://sportsdata.usatoday.com/ncaa/finances/204796
2,Texas,https://sportsdata.usatoday.com/ncaa/finances/228778,Big 12,"$239,290,648 ","$225,153,011 ",$0*,https://sportsdata.usatoday.com/ncaa/#,0.00%,Texas,https://sportsdata.usatoday.com/ncaa/finances/228778
3,Alabama,https://sportsdata.usatoday.com/ncaa/finances/100751,SEC,"$214,365,357 ","$195,881,911 ","$11,378,871*",https://sportsdata.usatoday.com/ncaa/#,5.31%,Alabama,https://sportsdata.usatoday.com/ncaa/finances/100751
4,Michigan,https://sportsdata.usatoday.com/ncaa/finances/170976,Big 10,"$210,652,287 ","$193,559,375 ","$153,059*",https://sportsdata.usatoday.com/ncaa/#,0.07%,Michigan,https://sportsdata.usatoday.com/ncaa/finances/170976
5,Georgia,https://sportsdata.usatoday.com/ncaa/finances/139959,SEC,"$203,048,566 ","$169,026,503 ","$3,530,802*",https://sportsdata.usatoday.com/ncaa/#,1.74%,Georgia,https://sportsdata.usatoday.com/ncaa/finances/139959
6,LSU,https://sportsdata.usatoday.com/ncaa/finances/159391,SEC,"$199,309,382 ","$192,770,399 ",$0*,https://sportsdata.usatoday.com/ncaa/#,0.00%,LSU,https://sportsdata.usatoday.com/ncaa/finances/159391
7,Texas A&M,https://sportsdata.usatoday.com/ncaa/finances/228723,SEC,"$193,139,619 ","$177,671,900 ",$0 ,,0.00%,Texas A&M,https://sportsdata.usatoday.com/ncaa/finances/228723
8,Florida,https://sportsdata.usatoday.com/ncaa/finances/134130,SEC,"$190,417,139 ","$174,365,070 ","$2,706,111*",https://sportsdata.usatoday.com/ncaa/#,1.42%,Florida,https://sportsdata.usatoday.com/ncaa/finances/134130
9,Penn State,https://sportsdata.usatoday.com/ncaa/finances/214777,Big 10,"$181,227,448 ","$170,542,050 ",$0 ,,0.00%,Penn State,https://sportsdata.usatoday.com/ncaa/finances/214777
10,Oklahoma,https://sportsdata.usatoday.com/ncaa/finances/207500,Big 12,"$177,320,217 ","$175,997,457 ",$0*,https://sportsdata.usatoday.com/ncaa/#,0.00%,Oklahoma,https://sportsdata.usatoday.com/ncaa/finances/207500
11,Auburn,https://sportsdata.usatoday.com/ncaa/finances/100858,SEC,"$174,568,442 ","$151,590,763 ","$15,561,411*",https://sportsdata.usatoday.com/ncaa/#,8.91%,Auburn,https://sportsdata.usatoday.com/ncaa/finances/100858
12,Michigan State,https://sportsdata.usatoday.com/ncaa/finances/171100,Big 10,"$172,799,513 ","$156,449,795 ","$1,358,948*",https://sportsdata.usatoday.com/ncaa/#,0.79%,Michigan State,https://sportsdata.usatoday.com/ncaa/finances/171100
